"perm","timestep","id","parent_id","x","y","stage","birth_timestep","have_info","detected","managing","last_known_timestep"
1,13,27,9,1562.29359134906,1812.09677157641,2,10,FALSE,FALSE,FALSE,NA
1,13,28,11,1345.75067272737,1461.59030285179,2,10,FALSE,FALSE,FALSE,NA
1,13,31,15,1175.60763360288,1633.56068106508,2,10,FALSE,FALSE,FALSE,NA
1,13,33,15,1294.4151803067,1503.45629184798,2,10,FALSE,FALSE,FALSE,NA
1,13,34,15,940.138917545973,1788.54211326201,2,10,FALSE,FALSE,FALSE,NA
1,13,36,9,384.366269221173,239.620556986075,2,11,FALSE,FALSE,FALSE,NA
1,13,37,13,1345.09795763862,1827.46727956272,2,11,FALSE,FALSE,FALSE,NA
1,13,38,13,1411.40616025012,1573.28321745224,2,11,FALSE,FALSE,FALSE,NA
1,13,39,13,1396.19986844687,1652.8641633748,2,11,FALSE,FALSE,FALSE,NA
1,13,40,15,1267.03688692181,1845.87540310615,2,11,FALSE,FALSE,FALSE,NA
1,13,45,16,1086.75765330928,1361.51444860359,2,11,FALSE,FALSE,FALSE,NA
1,13,46,18,1118.83379173277,818.818616654113,1,11,FALSE,FALSE,FALSE,NA
1,13,47,18,1537.60498112721,1106.94418127279,2,11,FALSE,FALSE,FALSE,NA
1,13,48,18,1214.45104694875,1151.3887811038,2,11,FALSE,FALSE,FALSE,NA
1,13,49,18,1508.13272980284,1342.24573396543,2,11,FALSE,FALSE,FALSE,NA
1,13,52,21,2033.19475508759,1719.41795319324,2,11,FALSE,FALSE,FALSE,NA
1,13,55,23,1691.20767696955,1158.69168230931,2,11,FALSE,FALSE,FALSE,NA
1,13,56,4,1932.75509498749,1942.47829024952,2,12,FALSE,FALSE,FALSE,NA
1,13,57,4,1443.02150350093,1546.53518520368,2,12,FALSE,FALSE,FALSE,NA
1,13,58,4,1488.31659307457,1389.08034961279,1,12,FALSE,FALSE,FALSE,NA
1,13,59,4,1962.18921361036,1214.01884925541,1,12,FALSE,FALSE,FALSE,NA
1,13,60,9,1493.67872095176,1328.32018103783,2,12,FALSE,FALSE,FALSE,NA
1,13,61,9,1571.60355424192,1488.38174757271,1,12,FALSE,FALSE,FALSE,NA
1,13,62,14,1697.29270090019,991.117648436071,1,12,FALSE,FALSE,FALSE,NA
1,13,63,14,1315.16879508039,1499.4801214157,2,12,FALSE,FALSE,FALSE,NA
1,13,64,16,1023.00820888406,1485.40060389113,2,12,FALSE,FALSE,FALSE,NA
1,13,65,18,1547.80795260562,1226.62268650624,2,12,FALSE,FALSE,FALSE,NA
1,13,66,18,1672.44178270667,1377.66370102183,2,12,FALSE,FALSE,FALSE,NA
1,13,67,20,1441.30269272823,1968.42092807692,1,12,FALSE,FALSE,FALSE,NA
1,13,68,22,853.213134154936,563.686524224707,2,12,FALSE,FALSE,FALSE,NA
1,13,69,22,849.279851562505,806.758408638305,1,12,FALSE,FALSE,FALSE,NA
1,13,71,24,1849.39347583028,1178.60152434776,1,12,FALSE,FALSE,FALSE,NA
1,13,72,25,1494.22625633415,1727.22775703844,1,12,FALSE,FALSE,FALSE,NA
1,13,73,27,1729.81424550557,2634.59278085091,2,12,FALSE,FALSE,FALSE,NA
1,13,74,27,1860.44795715514,2035.18624902165,1,12,FALSE,FALSE,FALSE,NA
1,13,76,32,1101.7634669492,2153.13201908848,2,12,FALSE,FALSE,FALSE,NA
1,13,78,4,1188.71211255859,1365.77787995826,1,13,FALSE,FALSE,FALSE,NA
1,13,79,5,1458.63034727788,1361.35548704721,1,13,FALSE,FALSE,FALSE,NA
1,13,80,9,1525.5115001007,1561.02894011767,1,13,FALSE,FALSE,FALSE,NA
1,13,81,9,1534.47059993548,1372.15977147433,1,13,FALSE,FALSE,FALSE,NA
1,13,82,9,1680.09527374964,1505.45818405013,1,13,FALSE,FALSE,FALSE,NA
