"perm","timestep","event","point_id","parent_id","x","y","stage_from","stage_to","detail","provisional_x","provisional_y","habitat","habitat_nudged"
1,18,"death",163,4,1965.13637864158,1848.94735051093,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",173,28,2074.73693602444,1077.4925484658,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",179,45,1087.2991473084,1320.39396740377,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",204,81,1499.29782021414,1476.52095203518,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",209,87,1639.90746408207,1881.94940242008,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",210,87,1283.12502434518,2213.61643874323,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",229,121,1999.887360116,1098.56335801066,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",233,19,1842.50725344854,1362.27621012006,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",249,56,2103.79850924422,2160.47517372718,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",268,78,700.625943354401,1392.38282902415,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",281,88,1193.98961182633,1849.02749745199,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",292,105,2296.48023007896,801.66218332615,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",316,128,1212.33073139369,1670.12838905455,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",323,133,1626.25615431642,1985.39515950935,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",327,134,818.936246251494,2330.53419437708,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",335,153,1681.04032430702,1380.25661940839,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",338,156,1172.92834965691,894.31008114641,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",341,158,940.850265980915,1952.26019279841,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",346,4,1578.61473486203,1549.90807333134,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",357,37,1210.06937157958,1801.32854135162,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",366,62,1591.55909111494,823.77279300082,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",373,64,906.655185130962,1808.05063637422,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",375,66,1614.31431284136,1356.09774934718,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",377,71,1809.15390472332,1251.51310482475,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",381,79,1390.26357183751,1481.76200820938,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",382,79,1273.64913522737,1635.25302160334,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",384,79,1208.62955040295,1471.42857758905,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",388,87,1425.70793321318,1861.41216012964,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",393,92,1773.12652836648,1119.62975766071,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",394,95,975.934505713415,1182.3661446663,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",396,96,1449.34536866508,1613.78752808599,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",402,112,1236.98516853483,2621.97806296655,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",413,121,1912.65572276876,1042.06018797578,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",454,183,1041.81208297024,1162.30091459288,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",460,204,2325.77487308213,1105.31033326692,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",463,210,950.600079504507,2434.33432570905,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",467,220,1340.79524058516,2018.4366623334,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"death",475,224,2065.05569263549,875.420715782572,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,18,"stage_transition",172,27,1775.59294660317,1639.12467458649,1,2,"transition_kernel",1775.59294660317,1639.12467458649,1,FALSE
