farm_id,size_ha,bef_nos,shp_nos,postal_twn,locality,postal_cod,farm_type,sheep_or_beef,X,Y,Avg_EI,Probability_Estab
MB00792,51.67,0,9,Blenheim,Blenheim,7240,BEF,1,173.902717433484,-41.51897249999999,30.5,0.8014285714285715
MB00794,2185.69,0,0,Renwick,Blenheim,7243,SNB,1,173.7276309346971,-41.6224953,28,0.7466666666666666
MB00797,15.99,3,17,NA,Blenheim,NA,SNB,1,173.83212562088318,-41.57578324999999,29,0.7733333333333333
MB00812,92.03,12,800,Ward,Ward,7248,SNB,1,174.11912277810478,-41.827668949999996,44,0.8400000000000001
MB00821,32.46,101,2342,NA,Renwick,NA,SNB,1,173.48464877924164,-41.709479,21,0.56
MB00823,1668.71,61,3000,Blenheim,Blenheim,7275,SNB,1,173.66151935303168,-41.5129958,7.166666666666667,0.19111111111111112
MB00827,12.54,5,110,Blenheim,Wairau Valley,7271,SHP,1,173.59097369822686,-41.54813395,19,0.5066666666666666
MB00836,8,10,0,Blenheim,Blenheim,7276,BEF,1,173.76850030809922,-41.58014755,30,0.8
MB00849,20.65,24,18,Blenheim,Blenheim,7271,SNB,1,173.57451133421654,-41.5553529,33,0.8085714285714286
MB00852,64.65,47,100,NA,Blenheim,NA,BEF,1,173.98742522016727,-41.53204635,28,0.7466666666666666
MB00871,17.5,20,3,Seddon,Seddon,7285,SNB,1,174.12385901740097,-41.753827599999994,33,0.8085714285714286
MB00872,80,30,0,Ward,Ward,7248,SHP,1,174.11560675629218,-41.81777345,44,0.8400000000000001
MB00881,4.83,5,0,NA,Blenheim,NA,BEF,1,173.9798817639924,-41.5193881,28,0.7466666666666666
MB00885,8,7,0,Blenheim,Blenheim,7272,BEF,1,173.84318043454937,-41.51736364999999,33,0.8085714285714286
MB00889,12.21,15,0,Blenheim,Wairau Valley,7271,BEF,1,173.61812427176278,-41.536706,10,0.26666666666666666
MB00915,30.51,100,0,Blenheim,Blenheim,7275,BEF,1,173.75564070654596,-41.48416329999999,12,0.32
MB00930,38.64,12,0,Blenheim,Onamalutu,7275,BEF,1,173.74000638515315,-41.486499949999995,6,0.16
MB00938,49.71,28,0,Blenheim,Blenheim,7274,BEF,1,173.95528502734214,-41.59517434999999,29.5,0.7866666666666666
MB00945,8.73,18,0,Blenheim,Renwick,7276,BEF,1,173.76433403494337,-41.57874235,30,0.8
MB00955,2.02,2,1,Blenheim,Wairau Valley,7271,BEF,1,173.5399878995434,-41.557792049999996,33,0.8085714285714286
MB00958,20.99,40,0,Blenheim,Blenheim,7273,BEF,1,173.78125675584886,-41.459014249999996,18,0.48
MB00966,33.37,13,26,Blenheim,Blenheim,7274,BEF,1,173.92960805256646,-41.6009769,31,0.8028571428571429
MB00972,13.5,29,22,Blenheim,Blenheim,7271,SNB,1,173.53093418273536,-41.572901,33,0.8085714285714286
MB00974,15.12,5,0,Blenheim,Blenheim,7272,BEF,1,173.93467349772368,-41.4881173,32,0.8057142857142857
MB00980,16.19,18,0,Blenheim,Blenheim,7272,BEF,1,173.55815622182672,-41.55474325,33,0.8085714285714286
MB00986,10.31,4,50,Blenheim,Blenheim,7271,SHP,1,173.24918770712011,-41.65778660000001,18.5,0.4933333333333333
MB00987,3.44,7,0,Blenheim,Blenheim,7273,BEF,1,173.93750168258572,-41.48575765,32,0.8057142857142857
MB00988,15.99,6,0,Blenheim,Blenheim,7271,BEF,1,173.55186580661763,-41.556624799999994,33,0.8085714285714286
MB00993,210.4,97,0,Blenheim,Blenheim,7271,BEF,1,173.97484161505048,-41.635372849999996,30,0.8
MB00996,80.59,23,62,Tauranga,Blenheim,3143,SHP,1,173.44972380915476,-41.60050714999999,19.25,0.5133333333333333
MB00999,4,10,0,Blenheim,Blenheim,7273,BEF,1,174.00283226993446,-41.43514645,36,0.8171428571428572
MB01003,8,29,0,Blenheim,Blenheim,7273,SHP,1,173.84485319625745,-41.45728235,35,0.8142857142857143
MB01010,8,14,0,Blenheim,Wairau Village,7271,BEF,1,173.5430256558184,-41.556323000000006,33,0.8085714285714286
MB01014,116.33,31,50,Blenheim,Blenheim,7274,BEF,1,173.99555634876697,-41.5442924,28.666666666666668,0.7644444444444445
