farm_id,size_ha,bef_nos,shp_nos,postal_twn,locality,postal_cod,farm_type,X,Y,Avg_EI,CNGpresent,CNGclose,sheep_or_beef_or_CNG,Probability_Estab
HS00163,408.8,0,2200,Hastings,Hastings,4174,SHP,176.73627885181992,-39.67272355,37.333333333333336,0,0,1,0.9333333333333335
HS00164,1088.54,773,8150,Hastings,Raukawa,4174,SNB,176.55035177358945,-39.75327205,20.833333333333332,0,0,1,0.5208333333333333
HS00166,484,205,3000,Hastings,Hastings,4171,SNB,176.51947285407783,-39.695325,17,43,43,1,0.425
HS00170,1883.4,1815,16354,Hastings,Crownthorpe,4179,SNB,176.62761059614888,-39.57969715,30,0,0,1,0.75
HS00173,507.8,402,754,Napier,Puketapu,4186,BEF,176.71253460064852,-39.47652635,24.666666666666668,0,0,1,0.6166666666666667
HS00176,836.9,700,1964,Napier,Rissington,4184,SNB,176.69520464027462,-39.42166135000001,16.666666666666668,0,0,1,0.41666666666666674
HS00177,264.5,196,0,Napier,Patoka,4186,BEF,176.65560386603772,-39.35563715,8,0,0,1,0.2
HS00178,232.7,60,850,Napier,Patoka,4186,SNB,176.6798118502365,-39.33656345,10.5,0,0,1,0.2625
HS00180,1179,451,5930,Hastings,Havelock North,4122,SNB,176.8202998154668,-39.735033300000005,32,0,1,1,0.8
HS00181,397.7,263,2139,Hastings,Hastings,4153,SNB,176.81556632851422,-39.75478185,27,0,0,1,0.675
HS00182,441,340,2500,Hastings,Fernhill,4171,SNB,176.6719550009082,-39.5966674,35.5,0,0,1,0.8875
HS00183,1036.7,605,5602,Havelock North,Elsthorpe,4294,SNB,176.8882774638129,-39.88216755,12.333333333333334,0,0,1,0.30833333333333335
HS00185,800,492,3900,Hastings,Kereru,4171,SNB,176.41966200375344,-39.57876345,13.75,0,0,1,0.34375
HS00186,303.5,100,3000,Napier,Waihau,4142,SNB,176.6338262636561,-39.4261925,17.25,0,0,1,0.43125
HS00187,312.4,500,0,Hastings,Kereru,4171,SHP,176.4481445471007,-39.665172350000006,11,0,0,1,0.275
HS00188,558.1,124,2670,Hastings,Maraekakaho,4171,BEF,176.49843595661787,-39.6881922,18,0,0,1,0.45
HS00195,305.7,185,1869,Hastings,Sherenden,4179,SNB,176.63984378229725,-39.473750100000004,25.5,0,0,1,0.6375
HS00198,820,671,250,Hastings,Te Hauke,4178,SNB,176.66525503629296,-39.7709135,34.75,57,97,1,0.86875
HS00199,401.2,250,1970,Napier,Waihau,NA,SNB,176.56431703468076,-39.421158,15.5,0,0,1,0.3875
HS00201,442.4,340,2180,Napier,Patoka,4184,SNB,176.6127941893515,-39.377713099999994,10.5,0,0,1,0.2625
HS00202,1582.9,555,8420,Napier,Rissington,4142,SNB,176.64529926592743,-39.400110999999995,14.333333333333334,0,0,1,0.35833333333333334
HS00203,169,27,1015,Hastings,Sherenden,4179,SHP,176.5440912338504,-39.51236084999999,19,0,0,1,0.475
HS00204,695,610,4518,Napier,Patoka,4186,SNB,176.5727915248354,-39.387367049999995,10.333333333333334,0,0,1,0.25833333333333336
HS00205,285.8,160,1915,Hastings,Maraekakaho,4171,SHP,176.51417134306544,-39.724251499999994,15.333333333333334,0,0,1,0.38333333333333336
HS00207,470.5,219,3320,Hastings,Hastings,4179,SNB,176.43473042559322,-39.5157066,10.333333333333334,0,0,1,0.25833333333333336
HS00209,765.9,800,5000,Hastings,Crownthorpe,4179,SNB,176.45345729044425,-39.55103340000001,11,0,0,1,0.275
HS00210,314.3,650,0,Napier,Taradale,4186,BEF,176.59092071686985,-39.418458,15.5,0,0,1,0.3875
HS00211,1040,518,7152,Hastings,Crownthorpe,4179,SNB,176.50562850761952,-39.5468611,18,0,0,1,0.45
HS00212,313,62,1875,Napier,Eskdale,4182,SNB,176.72712970807504,-39.3757008,15.5,0,0,1,0.3875
HS00214,558.9,50,3000,Napier,Glengarry,4182,SHP,176.7564937764448,-39.36985994999999,16.5,0,0,1,0.4125
HS00215,280,103,2125,Hastings,Hastings,4174,SNB,176.5891470265728,-39.72818279999999,29,0,0,1,0.725
HS00216,344.1,244,1615,Hastings,Hastings,4179,SNB,176.49243654477618,-39.434955049999985,8,0,0,1,0.2
HS00217,584,400,5000,Hastings,Maraekakaho,4174,SNB,176.61102719304094,-39.71194585,30.666666666666668,0,0,1,0.7666666666666667
HS00218,211,250,329,Napier,Napier,4182,SNB,176.7438208335942,-39.42730675,19.666666666666668,0,0,1,0.4916666666666667
HS00219,295,62,1300,Napier,Rissington,4184,SNB,176.72262736869064,-39.45439024999999,22,0,0,1,0.55
HS00220,211,400,31,Hastings,Waipawa,4174,BEF,176.59125484397677,-39.77417009999999,24.5,0,0,1,0.6125
HS00221,73.5,40,0,Hastings,Hastings,4179,BEF,176.5631971466892,-39.55117235,23,0,0,1,0.575
HS00222,520,625,1840,Napier,Patoka,4184,SNB,176.57195745717667,-39.30891835,9.5,0,0,1,0.2375
HS00224,779.8,632,6200,Hastings,Otamauri,4179,SNB,176.35421391445897,-39.47464485,8.2,0,0,1,0.205
HS00226,211.68,75,1704,Hastings,Hastings,4179,SNB,176.47003840228064,-39.46331645,9,0,0,1,0.225
HS00227,41,0,30,Napier,Patoka,4182,SHP,176.6546958592915,-39.379354449999994,12,0,0,1,0.3
HS00230,610.8,152,3770,Napier,Napier,4182,SHP,176.72677487197802,-39.32959149999999,11.5,0,0,1,0.2875
HS00232,113,50,605,Havelock North,Havelock North,4294,SNB,176.9071502110446,-39.7959361,13,0,0,1,0.325
HS00233,163,109,563,Hastings,Maraekakaho,4174,SNB,176.59934994271194,-39.7618581,27.666666666666668,0,0,1,0.6916666666666668
HS00234,1054,996,458,Havelock North,Havelock North,4294,SNB,176.91837449923258,-39.74368689999999,20.25,1,1,1,0.50625
HS00236,1209.3,361,4190,Hastings,Maraekakaho,4171,SNB,176.5401915073408,-39.72893044999999,20.4,32,32,1,0.51
HS00237,496,277,3900,Hastings,Otamauri,4179,SNB,176.5284514018159,-39.47448195,14.75,0,0,1,0.36875
HS00238,705,594,5800,Havelock North,Havelock North,4294,SNB,176.95427047970392,-39.6936879,28.5,0,1,1,0.7125
HS00239,254,84,1595,Havelock North,Havelock North,4157,SNB,176.95929745052814,-39.787796349999994,22.5,0,0,1,0.5625
HS00241,550,310,3940,Havelock North,Havelock North,4295,SNB,176.89104729126856,-39.769460349999996,22,0,0,1,0.55
HS00244,770,100,0,Hastings,Sherenden,4179,BEF,176.611243756355,-39.5314163,26.666666666666668,0,0,1,0.6666666666666667
HS00249,2757,1353,12763,Havelock North,Otamauri,4157,SNB,176.39703926480695,-39.5282576,12,0,0,1,0.3
